Reference Number,Grid Ref: Easting,Grid Ref: Northing,Number of Vehicles,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Type of Vehicle 1,Casualty Class 1,Casualty Severity 1,Sex of Casualty 1,Age of Casualty 1,Type of Vehicle 2,Casualty Class 2,Casualty Severity 2,Sex of Casualty 2,Age of Casualty 2,Type of Vehicle 3,Casualty Class 3,Casualty Severity 3,Sex of Casualty 3,Age of Casualty 3,Type of Vehicle 4,Casualty Class 4,Casualty Severity 4,Sex of Casualty 4,Age of Casualty 4
6140231,398364,418232,1,1/4/2019,7:01,A,Dry,Darkness: no street lighting,Fine without high winds,Car,Driver or rider,Serious,Male,19,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
6142035,407438,426457,1,1/4/2019,23:08,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Serious,Male,36,NO DATA,Vehicle or pillion passenger,Serious,Male,26,NO DATA,Vehicle or pillion passenger,Serious,Male,20,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
6170291,409015,425004,1,1/7/2019,8:38,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Bus or coach (17 or more passenger seats),Pedestrian,Slight,Male,18,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
6180214,409646,422315,1,1/8/2019,7:05,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,53,Car,not known,not known,not known,not known,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
6191021,407754,428825,1,1/9/2019,15:15,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Slight,Male,23,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
61A0879,408793,425456,1,1/10/2019,14:24,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Bus or coach (17 or more passenger seats),Vehicle or pillion passenger,Slight,Female,64,Car,Vehicle or pillion passenger,Slight,Female,42,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
61B0200,412455,425779,1,1/11/2019,5:5,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Serious,Male,47,Motorcycle over 50cc and up to 125cc,not known,not known,not known,not known,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
61B0239,411295,422179,1,1/11/2019,7,A,Dry,Darkness: street lights present and lit,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Driver or rider,Slight,Male,51,Car,not known,not known,not known,not known,Car,not known,not known,not known,not known,Car,not known,not known,not known,not known
61B0317,414107,424986,1,1/11/2019,8:26,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Slight,Male,11,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
61C0968,399298,428044,1,1/12/2019,14:45,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Male,43,Car,not known,not known,not known,not known,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
61D1303,398423,414772,1,1/13/2019,17:35,Motorway,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Car,Vehicle or pillion passenger,Slight,Female,47,Car,not known,not known,not known,not known,Car,not known,not known,not known,not known,Car,not known,not known,not known,not known
61D1457,416483,422141,1,1/13/2019,19:05,Motorway,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Car,Driver or rider,Slight,Male,33,Car,not known,not known,not known,not known,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
61F1116,403161,416145,1,1/15/2019,15:3,Motorway,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,17,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
61F1443,408010,426215,1,1/15/2019,18:07,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Male,40,Taxi/Private hire car,Vehicle or pillion passenger,Slight,Female,52,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
61G1372,401594,426001,1,1/1/2019,16:3,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Pedestrian,Serious,Female,75,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
61K0563,408211,424474,1,1/20/2019,10:26,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,20,Car,Vehicle or pillion passenger,Slight,Female,35,NO DATA,Driver or rider,Slight,Male,68,NO DATA,Vehicle or pillion passenger,Slight,Female,50
61K0615,408935,426594,1,1/20/2019,11,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,64,Car,not known,not known,not known,not known,Car,not known,not known,not known,not known,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
61K0776,409148,425579,1,1/20/2019,2:3,A,Dry,Darkness: street lights present and lit,Fine without high winds,Taxi/Private hire car,Pedestrian,Slight,Female,28,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
61K1702,411426,420851,1,1/20/2019,21:25,B,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Car,Driver or rider,Serious,Male,28,Car,Vehicle or pillion passenger,Serious,Male,19,Goods vehicle 3.5 tonnes mgw and under,Driver or rider,Slight,Female,26,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
61L0705,411885,427790,1,1/21/2019,17:33,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Female,32,Car,not known,not known,not known,not known,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
61L1354,407978,424009,1,1/21/2019,17:57,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Car,Driver or rider,Serious,Male,25,Motorcycle over 50cc and up to 125cc,not known,not known,not known,not known,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
61N1476,406969,426086,1,1/23/2019,19:12,Unclassified,Frost / Ice,Darkness: street lights present and lit,Fine without high winds,Taxi/Private hire car,Vehicle or pillion passenger,Slight,Female,1,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
61O0426,403795,425035,1,1/24/2019,10:32,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Goods vehicle over 3.5 tonnes and under 7.5 tonnes mgw,Driver or rider,Slight,Male,36,Goods vehicle 3.5 tonnes mgw and under,not known,not known,not known,not known,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
61P1120,409355,424954,1,1/25/2019,15:17,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Car,Driver or rider,Slight,Male,78,Car,Driver or rider,Slight,Female,53,Car,not known,not known,not known,not known,Car,not known,not known,not known,not known
61Q1857,408957,424819,1,1/26/2019,22:05,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Car,Driver or rider,Slight,Female,33,Car,Vehicle or pillion passenger,Slight,Male,42,NO DATA,Vehicle or pillion passenger,Slight,Male,10,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
61S0883,404440,424170,1,1/28/2019,9,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,49,Goods vehicle 3.5 tonnes mgw and under,not known,not known,not known,not known,Car,not known,not known,not known,not known,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
61S1100,415004,422855,1,1/21/2019,15,A,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Slight,Male,79,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
61T0050,393942,424186,1,1/29/2019,1,A,Dry,Daylight: street lights present,Fine without high winds,Taxi/Private hire car,Driver or rider,Slight,Male,43,Taxi/Private hire car,Vehicle or pillion passenger,Serious,Male,24,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
6210481,409292,425056,1,1/17/2019,18,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Vehicle or pillion passenger,Serious,Male,40,Bus or coach (17 or more passenger seats),not known,not known,not known,not known,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
6211089,407576,425892,1,2/1/2019,14:5,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,47,Car,not known,not known,not known,not known,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
6211721,406898,426365,1,2/1/2019,20:11,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Male,18,Car,not known,not known,not known,not known,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
6250208,407617,424288,1,2/5/2019,5:4,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fog or mist â€“ if hazard,Taxi/Private hire car,Pedestrian,Slight,Male,38,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
6261810,407214,425140,1,2/6/2019,20:31,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,26,Car,not known,not known,not known,not known,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
6290966,408010,426215,1,2/9/2019,12:25,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Car,Driver or rider,Slight,Female,35,Car,Vehicle or pillion passenger,Slight,Male,6,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
62A1096,392916,425011,1,2/10/2019,16:05,A,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Serious,Female,74,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
62B1233,407116,428622,1,2/11/2019,15:1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Goods vehicle over 3.5 tonnes and under 7.5 tonnes mgw,Pedestrian,Slight,Female,32,NO DATA,Pedestrian,Serious,Female,9,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
62D0888,415278,422942,1,2/13/2019,13:53,A,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,41,Car,not known,not known,not known,not known,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
62D2076,407820,424186,1,2/13/2019,22:52,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Motorcycle - Unknown CC,Driver or rider,Serious,Female,29,Car,Vehicle or pillion passenger,Serious,Female,25,NO DATA,Vehicle or pillion passenger,Serious,Female,17,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
62G0718,410849,420601,1,2/16/2019,11:29,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,63,Car,not known,not known,not known,not known,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
62I0672,412443,426534,1,2/18/2019,14:15,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Agricultural vehicle (includes diggers etc.),Pedestrian,Slight,Male,86,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
62J1410,409592,424836,1,2/19/2019,18:35,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Serious,Male,57,Car,not known,not known,not known,not known,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
62L0952,411501,419651,1,2/21/2019,14,Motorway,Dry,Daylight: street lights present,Fine without high winds,Goods vehicle 7.5 tonnes mgw and over,Driver or rider,Slight,Female,49,Car,not known,not known,not known,not known,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
62M0769,415404,422502,1,2/22/2019,12:3,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Slight,Male,17,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
62M1225,412749,428958,1,2/22/2019,16:5,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,19,Car,Driver or rider,Slight,Male,42,Car,Driver or rider,Slight,Male,72,Car,Vehicle or pillion passenger,Slight,Female,66
62M1698,398835,427224,1,2/22/2019,17:55,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Male,15,Pedal cycle,not known,not known,not known,not known,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
62O0181,397664,426659,1,2/24/2019,1:51,A,Dry,Darkness: street lights present and lit,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Driver or rider,Serious,Male,45,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
62O0501,408130,427347,1,2/24/2019,8:1,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Serious,Male,47,Pedal cycle,not known,not known,not known,not known,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
62P0207,411040,420842,1,2/25/2019,5:59,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,57,Bus or coach (17 or more passenger seats),not known,not known,not known,not known,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
62Q1437,410076,421622,1,3/1/2019,5:5,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Male,27,Car,not known,not known,not known,not known,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
6340638,404418,420701,1,3/4/2019,11:48,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,62,Car,not known,not known,not known,not known,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
6340804,408391,426520,1,3/4/2019,13:05,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,46,Taxi/Private hire car,Driver or rider,Slight,Male,56,Car,Driver or rider,Slight,Female,53,NO DATA,Vehicle or pillion passenger,Slight,Female,26
6370337,412689,421428,1,3/7/2019,8:5,Unclassified,Wet / Damp,Daylight: street lights present,Fine with high winds,Car,Pedestrian,Slight,Female,47,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
63A1016,391942,425655,1,3/10/2019,15,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Car,Vehicle or pillion passenger,Slight,Female,61,Car,not known,not known,not known,not known,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
63C0554,402564,416005,1,3/12/2019,11:27,Motorway,Wet / Damp,Daylight: street lights present,Raining with high winds,Car,Driver or rider,Slight,Male,61,Car,not known,not known,not known,not known,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
63D0351,409115,425084,1,3/13/2019,8:45,A,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Serious,Female,17,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
63D1372,407448,425221,1,3/13/2019,17:3,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Car,Driver or rider,Slight,Male,5,Pedal cycle,not known,not known,not known,not known,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
63D1851,406036,423432,1,3/13/2019,21,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Car,Pedestrian,Serious,Male,47,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
63G1401,407400,425927,1,3/16/2019,17:15,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,35,Car,not known,not known,not known,not known,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
63H0768,407948,424599,1,3/17/2019,12:49,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,19,Car,not known,not known,not known,not known,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
63H1032,408666,424775,1,3/17/2019,15:01,A,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,43,Car,Vehicle or pillion passenger,Slight,Female,11,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
63K0899,416439,422239,1,3/20/2019,13:4,Motorway,Dry,Daylight: street lights present,Fine without high winds,Goods vehicle 7.5 tonnes mgw and over,Driver or rider,Slight,Male,53,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
63K1349,409786,425725,1,3/20/2019,16:45,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,54,Motorcycle over 500cc,not known,not known,not known,not known,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
63Q1077,399968,415544,1,3/26/2019,15:4,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,37,Car,Driver or rider,Slight,Male,33,Car,not known,not known,not known,not known,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
63Q1404,411194,423687,1,3/26/2019,18:03,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Male,8,Car,not known,not known,not known,not known,Car,not known,not known,not known,not known,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
63R0449,407339,426746,1,3/27/2019,10:15,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Serious,Female,69,Car,not known,not known,not known,not known,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
