Reference Number,Grid Ref: Easting,Grid Ref: Northing,Number of Vehicles,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Type of Vehicle 1,Casualty Class 1,Casualty Severity 1,Sex of Casualty 1,Age of Casualty 1,Type of Vehicle 2,Casualty Class 2,Casualty Severity 2,Sex of Casualty 2,Age of Casualty 2,Type of Vehicle 3,Casualty Class 3,Casualty Severity 3,Sex of Casualty 3,Age of Casualty 3,Type of Vehicle 4,Casualty Class 4,Casualty Severity 4,Sex of Casualty 4,Age of Casualty 4
6761945,389881,426268,2,7/6/2019,21:3,A,Dry,Darkness: street lights present and lit,Fine without high winds,Motorcycle over 50cc and up to 125cc,Driver or rider,Serious,Male,27,Car,not known,not known,not known,not known,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
6781836,414635,422712,2,7/8/2019,20:27,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Car,Driver or rider,Slight,Male,19,Car,Driver or rider,Slight,Male,25,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
6790856,413523,420614,2,7/9/2019,13:18,A,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,81,Car,not known,not known,not known,not known,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
67B1142,416309,424137,2,7/11/2019,15:13,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Serious,Male,25,Motorcycle over 50cc and up to 125cc,not known,not known,not known,not known,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
67B1325,410046,423303,2,7/11/2019,16:22,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,26,Pedal cycle,not known,not known,not known,not known,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
67B1712,408164,427574,2,7/11/2019,19:04,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,3,Car,not known,not known,not known,not known,Car,not known,not known,not known,not known,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
67C0218,411025,419630,2,7/12/2019,4:5,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,24,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
67C1738,405419,419813,2,7/12/2019,19:02,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,25,Car,Driver or rider,Slight,Male,53,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
67D0909,413653,426162,2,7/13/2019,13:25,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Serious,Male,49,Motorcycle over 500cc,not known,not known,not known,not known,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
67D1295,399768,427251,2,7/13/2019,16:38,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Motorcycle over 500cc,Driver or rider,Slight,Male,46,Car,not known,not known,not known,not known,Car,not known,not known,not known,not known,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
67D1546,413526,420937,2,7/13/2019,18:35,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,3,Car,not known,not known,not known,not known,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
67E1213,416721,422105,2,7/14/2019,15:3,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,44,Car,Driver or rider,Slight,Male,47,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
67E1699,398927,420380,2,7/14/2019,19:24,B,Dry,Daylight: street lights present,Fine without high winds,Motorcycle over 500cc,Driver or rider,Serious,Male,46,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
67G0266,411440,419636,2,7/16/2019,6:54,A,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Driver or rider,Serious,Male,27,Taxi/Private hire car,not known,not known,not known,not known,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
67G2262,406947,430908,2,7/16/2019,23:36,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Male,20,Car,Driver or rider,Slight,Male,27,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
67I1498,408335,424290,2,7/18/2019,17:48,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Serious,Male,5,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
67J0424,414829,422937,2,7/19/2019,8:55,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Motorcycle over 125cc and up to 500cc,Driver or rider,Slight,Male,26,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
67J0531,401531,425998,2,7/19/2019,10:04,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,71,Goods vehicle 3.5 tonnes mgw and under,not known,not known,not known,not known,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
67J1397,405959,423452,2,7/19/2019,15:45,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,39,Pedal cycle,not known,not known,not known,not known,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
67J1853,407532,423577,2,7/19/2019,20:25,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,47,Car,not known,not known,not known,not known,Car,not known,not known,not known,not known,Car,not known,not known,not known,not known
67K0642,409232,425316,2,7/20/2019,10:45,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Driver or rider,Slight,Female,25,Car,not known,not known,not known,not known,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
67K2263,402376,420524,2,7/19/2019,22:45,Unclassified,Dry,Darkness: no street lighting,Raining without high winds,Car,Vehicle or pillion passenger,Serious,Male,20,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
67L1161,401322,426020,2,7/21/2019,15:59,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,20,Pedal cycle,not known,not known,not known,not known,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
67N1567,412457,425479,2,7/23/2019,17:5,A,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,15,Car,not known,not known,not known,not known,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
67O0371,404368,419514,2,7/24/2019,7:37,B,Wet / Damp,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,18,Car,Driver or rider,Slight,Female,23,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
67O0629,390462,425810,2,7/24/2019,11:07,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,70,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
67P2019,406619,419805,2,7/25/2019,19:45,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,30,Car,not known,not known,not known,not known,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
67R1074,411466,419504,2,7/27/2019,14:2,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Motorcycle over 50cc and up to 125cc,Driver or rider,Slight,Female,36,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
67R1805,402579,416007,2,7/27/2019,20:55,Motorway,Wet / Damp,Darkness: no street lighting,Raining without high winds,Car,Driver or rider,Slight,Male,50,Car,Driver or rider,Slight,Female,45,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
67R1929,409459,423490,2,7/27/2019,22:1,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Motorcycle over 500cc,Driver or rider,Slight,Male,19,NO DATA,Vehicle or pillion passenger,Slight,Male,36,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
67U2259,404289,416714,2,7/30/2019,23:24,Motorway,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Car,Driver or rider,Slight,Male,45,Car,not known,not known,not known,not known,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
67V1283,413905,421654,2,7/31/2019,17:07,A,Dry,Daylight: street lights present,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Driver or rider,Slight,Male,49,Pedal cycle,not known,not known,not known,not known,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
67V1613,409561,423621,2,7/31/2019,18:3,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Slight,Male,7,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
6810434,413577,423199,2,8/1/2019,8:5,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Slight,Female,45,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
6811225,411195,420637,2,8/1/2019,16:07,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Driver or rider,Slight,Male,28,Car,not known,not known,not known,not known,Car,not known,not known,not known,not known,Goods vehicle 3.5 tonnes mgw and under,not known,not known,not known,not known
6821005,405547,419979,2,8/2/2019,14:55,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,55,Goods vehicle 7.5 tonnes mgw and over,Vehicle or pillion passenger,Slight,Female,67,NO DATA,Driver or rider,Slight,Male,53,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
6821437,409822,425672,2,8/2/2019,16:3,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Male,67,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
6830654,416853,424057,2,8/3/2019,9:4,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Slight,Male,42,Car,not known,not known,not known,not known,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
6841243,416262,422206,2,8/4/2019,15:3,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,53,Car,Vehicle or pillion passenger,Slight,Female,57,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
6842175,411759,421260,2,8/4/2019,22:23,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Motorcycle over 500cc,Driver or rider,Fatal,Male,43,Pedal cycle,not known,not known,not known,not known,Car,not known,not known,not known,not known,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
6850683,409210,425076,2,8/5/2019,11:33,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Serious,Male,52,Car,not known,not known,not known,not known,Car,not known,not known,not known,not known,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
6891410,403757,425093,2,8/8/2019,14:36,A,Dry,Daylight: street lights present,Fine without high winds,Goods vehicle over 3.5 tonnes and under 7.5 tonnes mgw,Pedestrian,Slight,Male,17,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
6891840,411660,427999,2,8/9/2019,19:49,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Car,Driver or rider,Slight,Male,59,Car,Vehicle or pillion passenger,Slight,Female,73,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
68A0046,408176,428159,2,8/10/2019,0:2,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Car,Vehicle or pillion passenger,Slight,Female,54,Car,Vehicle or pillion passenger,Slight,Female,52,Car,not known,not known,not known,not known,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
68E0673,409045,426232,2,8/14/2019,12:5,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Car,Driver or rider,Slight,Female,76,Agricultural vehicle (includes diggers etc.),Vehicle or pillion passenger,Slight,Male,79,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
68E0728,409973,425659,2,8/14/2019,13:23,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Car,Vehicle or pillion passenger,Slight,Male,62,Goods vehicle 7.5 tonnes mgw and over,not known,not known,not known,not known,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
68F1413,407102,427478,2,8/15/2019,18:3,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Pedestrian,Slight,Female,4,Car,not known,not known,not known,not known,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
68F1591,412777,425575,2,8/15/2019,19:49,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,36,Car,Vehicle or pillion passenger,Slight,Male,12,Car,Vehicle or pillion passenger,Slight,Female,2,Car,Vehicle or pillion passenger,Slight,Female,5
68J1025,393457,421311,2,8/19/2019,14:4,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,89,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
68J1571,411140,420685,2,8/19/2019,17:55,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,12,Taxi/Private hire car,not known,not known,not known,not known,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
68K1155,409449,424967,2,8/20/2019,15:46,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Motorcycle over 125cc and up to 500cc,Driver or rider,Slight,Male,20,Minibus (8 â€“ 16 passenger seats),not known,not known,not known,not known,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
68N1921,402457,420730,2,8/23/2019,20:27,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Serious,Male,55,NO DATA,Vehicle or pillion passenger,Slight,Female,41,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
68N2246,407913,424913,2,8/23/2019,22:46,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Male,25,Car,not known,not known,not known,not known,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
68O1081,411112,425997,2,8/24/2019,14:22,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Serious,Male,61,Motorcycle over 500cc,not known,not known,not known,not known,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
68O2257,414361,423381,2,8/24/2019,22:14,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Female,21,Car,Vehicle or pillion passenger,Slight,Male,23,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
68P1528,402351,417927,2,8/25/2019,17:3,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Serious,Male,19,Motorcycle over 500cc,Vehicle or pillion passenger,Slight,Female,19,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
68Q0462,409741,422699,2,8/26/2019,5:35,A,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Serious,Female,23,NO DATA,Vehicle or pillion passenger,Slight,Female,22,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
68Q1229,412132,425424,2,8/26/2019,14:3,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Motorcycle over 125cc and up to 500cc,Driver or rider,Serious,Male,25,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
68Q2016,407913,424913,2,8/26/2019,22:01,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Male,34,Motorcycle over 500cc,not known,not known,not known,not known,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
68U0499,408750,422564,2,8/30/2019,9:38,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,73,Agricultural vehicle (includes diggers etc.),not known,not known,not known,not known,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
68U0600,410421,426015,2,8/30/2019,10:36,A,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,9,Car,Vehicle or pillion passenger,Slight,Female,11,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
68V0469,405547,419979,2,8/30/2019,13,A,Dry,Daylight: street lights present,Fine without high winds,Goods vehicle 7.5 tonnes mgw and over,Driver or rider,Serious,Male,35,Pedal cycle,not known,not known,not known,not known,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
68V0878,409402,424771,2,8/31/2019,13:09,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,63,Car,not known,not known,not known,not known,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
68V0913,411014,428762,2,8/31/2019,13:27,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Serious,Male,26,Goods vehicle 3.5 tonnes mgw and under,Driver or rider,Serious,Male,33,Car,not known,not known,not known,not known,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
6920662,412462,425469,2,9/2/2019,12:3,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,75,Car,Vehicle or pillion passenger,Slight,Female,72,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
6931678,409788,425724,2,9/3/2019,20:38,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Male,2,Car,not known,not known,not known,not known,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
6981343,406794,426164,2,9/8/2019,18:03,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Motorcycle over 50cc and up to 125cc,Driver or rider,Serious,Male,35,Car,Vehicle or pillion passenger,Serious,Female,47,NO DATA,Driver or rider,Slight,Female,33,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
