DateDim[Accident_Date],DateDim[Time__24hr],DateDim[DateID],DateDim[Year],DateDim[Month],DateDim[MonthName]
1/4/2019,7:01,0,2019,1,January
1/4/2019,23:08,1,2019,1,January
1/7/2019,8:38,2,2019,1,January
1/8/2019,7:05,3,2019,1,January
1/9/2019,15:15,4,2019,1,January
1/10/2019,14:24,5,2019,1,January
1/11/2019,5:5,6,2019,1,January
1/11/2019,7,7,2019,1,January
1/11/2019,8:26,8,2019,1,January
1/12/2019,14:45,9,2019,1,January
1/13/2019,17:35,10,2019,1,January
1/13/2019,19:05,11,2019,1,January
1/15/2019,15:3,12,2019,1,January
1/15/2019,18:07,13,2019,1,January
1/1/2019,16:3,14,2019,1,January
1/20/2019,10:26,15,2019,1,January
1/20/2019,11,16,2019,1,January
1/20/2019,2:3,17,2019,1,January
1/20/2019,21:25,18,2019,1,January
1/21/2019,17:33,19,2019,1,January
1/21/2019,17:57,20,2019,1,January
1/23/2019,19:12,21,2019,1,January
1/24/2019,10:32,22,2019,1,January
1/25/2019,15:17,23,2019,1,January
1/26/2019,22:05,24,2019,1,January
1/28/2019,9,25,2019,1,January
1/21/2019,15,26,2019,1,January
1/29/2019,1,27,2019,1,January
1/17/2019,18,28,2019,1,January
2/1/2019,14:5,29,2019,2,February
2/1/2019,20:11,30,2019,2,February
2/5/2019,5:4,31,2019,2,February
2/6/2019,20:31,32,2019,2,February
2/9/2019,12:25,33,2019,2,February
2/10/2019,16:05,34,2019,2,February
2/11/2019,15:1,35,2019,2,February
2/13/2019,13:53,36,2019,2,February
2/13/2019,22:52,37,2019,2,February
2/16/2019,11:29,38,2019,2,February
2/18/2019,14:15,39,2019,2,February
2/19/2019,18:35,40,2019,2,February
2/21/2019,14,41,2019,2,February
2/22/2019,12:3,42,2019,2,February
2/22/2019,16:5,43,2019,2,February
2/22/2019,17:55,44,2019,2,February
2/24/2019,1:51,45,2019,2,February
2/24/2019,8:1,46,2019,2,February
2/25/2019,5:59,47,2019,2,February
3/1/2019,5:5,48,2019,3,March
3/4/2019,11:48,49,2019,3,March
3/4/2019,13:05,50,2019,3,March
3/7/2019,8:5,51,2019,3,March
3/10/2019,15,52,2019,3,March
3/12/2019,11:27,53,2019,3,March
3/13/2019,8:45,54,2019,3,March
3/13/2019,17:3,55,2019,3,March
3/13/2019,21,56,2019,3,March
3/16/2019,17:15,57,2019,3,March
3/17/2019,12:49,58,2019,3,March
3/17/2019,15:01,59,2019,3,March
3/20/2019,13:4,60,2019,3,March
3/20/2019,16:45,61,2019,3,March
3/26/2019,15:4,62,2019,3,March
3/26/2019,18:03,63,2019,3,March
3/27/2019,10:15,64,2019,3,March
3/30/2019,19,65,2019,3,March
4/7/2019,13:2,66,2019,4,April
4/9/2019,9:27,67,2019,4,April
4/11/2019,5:25,68,2019,4,April
4/10/2019,18:25,69,2019,4,April
4/11/2019,16:4,70,2019,4,April
4/13/2019,14,71,2019,4,April
4/15/2019,11:3,72,2019,4,April
4/15/2019,12:19,73,2019,4,April
4/15/2019,12,74,2019,4,April
4/18/2019,8:5,75,2019,4,April
4/18/2019,11:15,76,2019,4,April
4/20/2019,15:25,77,2019,4,April
4/18/2019,20:4,78,2019,4,April
4/19/2019,17:05,79,2019,4,April
4/20/2019,7,80,2019,4,April
4/20/2019,18:3,81,2019,4,April
4/20/2019,22:23,82,2019,4,April
4/21/2019,14:5,83,2019,4,April
4/28/2019,21:33,84,2019,4,April
4/30/2019,12:41,85,2019,4,April
4/30/2019,19:1,86,2019,4,April
5/2/2019,21:29,87,2019,5,May
5/3/2019,16:07,88,2019,5,May
5/4/2019,14:58,89,2019,5,May
5/6/2019,18:23,90,2019,5,May
5/7/2019,12:08,91,2019,5,May
5/10/2019,16:14,92,2019,5,May
5/11/2019,17:25,93,2019,5,May
5/12/2019,12:25,94,2019,5,May
5/13/2019,7:25,95,2019,5,May
5/13/2019,7:4,96,2019,5,May
5/14/2019,17:38,97,2019,5,May
5/14/2019,17:45,98,2019,5,May
5/15/2019,10:3,99,2019,5,May
2020-01-05,17:5,100,2020,1,January
2020-01-06,10:3,101,2020,1,January
2020-01-07,16:4,102,2020,1,January
2020-01-07,17:06,103,2020,1,January
2020-01-08,14:41,104,2020,1,January
2020-01-13,10:05,105,2020,1,January
2020-01-13,17:35,106,2020,1,January
2020-01-13,17:43,107,2020,1,January
2020-01-13,17:55,108,2020,1,January
2020-01-18,19:43,109,2020,1,January
2020-01-20,7:35,110,2020,1,January
2020-01-21,19:25,111,2020,1,January
2020-01-22,21:05,112,2020,1,January
2020-01-25,17:2,113,2020,1,January
2020-01-25,17:3,114,2020,1,January
2020-01-27,5:39,115,2020,1,January
2020-01-27,9:15,116,2020,1,January
2020-01-28,7:53,117,2020,1,January
2020-01-30,15:1,118,2020,1,January
2020-01-30,12:5,119,2020,1,January
2020-01-31,11:55,120,2020,1,January
2020-01-31,14:54,121,2020,1,January
2020-02-03,12:19,122,2020,2,February
2020-02-06,13:05,123,2020,2,February
2020-02-06,15:4,124,2020,2,February
2020-02-08,2,125,2020,2,February
2020-02-09,23:51,126,2020,2,February
2020-02-10,2:59,127,2020,2,February
2020-02-12,19:33,128,2020,2,February
2020-02-17,18:49,129,2020,2,February
2020-02-18,9:5,130,2020,2,February
2020-02-18,15:17,131,2020,2,February
2020-02-21,18:15,132,2020,2,February
2020-02-25,4:5,133,2020,2,February
2020-02-27,9,134,2020,2,February
2020-02-28,14:3,135,2020,2,February
2020-03-02,11:27,136,2020,3,March
2020-03-06,9:1,137,2020,3,March
2020-03-06,9:3,138,2020,3,March
2020-03-07,14:2,139,2020,3,March
2020-03-08,17:31,140,2020,3,March
2020-03-08,19:1,141,2020,3,March
2020-03-09,13:25,142,2020,3,March
2020-03-10,16:02,143,2020,3,March
2020-03-15,11:41,144,2020,3,March
2020-03-16,2:45,145,2020,3,March
2020-03-18,8:55,146,2020,3,March
2020-03-23,15:39,147,2020,3,March
2020-03-14,18,148,2020,3,March
2020-03-26,19:3,149,2020,3,March
2020-03-28,17,150,2020,3,March
2020-03-30,16,151,2020,3,March
2020-04-04,23:3,152,2020,4,April
2020-04-05,18:1,153,2020,4,April
2020-04-11,18:3,154,2020,4,April
2020-04-12,11:46,155,2020,4,April
2020-04-13,5:4,156,2020,4,April
2020-04-24,15:01,157,2020,4,April
2020-04-27,18:45,158,2020,4,April
2020-05-01,12:15,159,2020,5,May
2020-05-05,16:28,160,2020,5,May
2020-05-07,15:1,161,2020,5,May
2020-05-07,14:4,162,2020,5,May
2020-05-09,10:3,163,2020,5,May
2020-05-11,16:46,164,2020,5,May
2020-05-11,19:58,165,2020,5,May
2020-05-12,11,166,2020,5,May
2020-05-17,23,167,2020,5,May
2020-05-18,22:4,168,2020,5,May
2020-05-20,12:29,169,2020,5,May
2020-05-20,15:11,170,2020,5,May
2020-05-21,20:09,171,2020,5,May
2020-05-25,19:3,172,2020,5,May
2020-05-31,13,173,2020,5,May
2020-06-02,10:47,174,2020,6,June
2020-06-04,23:2,175,2020,6,June
2020-06-06,9:05,176,2020,6,June
2020-06-06,10,177,2020,6,June
2020-06-06,16:3,178,2020,6,June
2020-06-10,16:12,179,2020,6,June
2020-06-12,19:53,180,2020,6,June
2020-06-13,15:19,181,2020,6,June
2020-06-14,18:15,182,2020,6,June
2020-06-16,13:27,183,2020,6,June
2020-06-17,12:31,184,2020,6,June
2020-06-17,16:14,185,2020,6,June
2020-06-18,14:28,186,2020,6,June
2020-06-20,16:11,187,2020,6,June
2020-06-23,15:4,188,2020,6,June
2020-06-23,18,189,2020,6,June
2020-06-24,18:14,190,2020,6,June
2020-06-24,16:5,191,2020,6,June
2020-06-26,10:2,192,2020,6,June
2020-06-28,12:14,193,2020,6,June
2020-07-01,18:5,194,2020,7,July
2020-07-03,21:55,195,2020,7,July
2020-07-04,11:3,196,2020,7,July
2020-07-05,10:3,197,2020,7,July
2020-07-05,15:3,198,2020,7,July
2020-07-06,14,199,2020,7,July
